Date,Channel,MKTer,Chiến dịch,Chi phí Marketing,Impression,Reach,Click,Share,Cmt,Inbox,Lead MKT,Đơn hàng,Doanh thu,Paid Revenue 1,Giá Lead,Đơn/Lead,CPM,CPC,"Giá Mess
(Cmt + Inbox)",ME1 (ME đã bao gồm thuế + phí)
29/08/2020,Google,TienTran,Discovery,"391,280","21,686",0,781,0,0,0,1,1,"499,000",0,"391,280",1,"18,043",501,0,"391,280"
29/08/2020,Google,TienTran,PerMax,"196,022","8,606",0,58,0,0,0,2,2,"998,000",0,"98,011",1,"22,777","3,380",0,"196,022"
29/08/2020,Google,TienTran,Guu-Search,"25,708",286,0,8,0,0,0,0,0,0,0,0,0,"89,888","3,214",0,"25,708"
29/08/2020,Google,TienTran,Guu-Discovery,"171,786","8,371",0,349,0,0,0,1,1,"499,000",0,"171,786",1,"20,522",492,0,"171,786"
29/08/2020,Google,TienTran,Guu-PerMax,"230,139","6,553",0,64,0,0,0,3,2,"998,000",0,"76,713",0.67,"35,120","3,596",0,"230,139"
29/08/2020,Google,DucVu,Brand,"109,506","4,677",0,58,0,0,0,0,0,0,0,0,0,"23,414","1,888",0,"109,506"
30/08/2020,FB,DucVu,CVS,0,0,0,0,0,0,0,6,1,"998,000",0,0,0.17,0,0,0,0
30/08/2020,FB,DucVu,Mess,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30/08/2020,FB,DucVu,Brand,"853,072","171,398","138,528",39,1,1,0,0,0,0,0,0,0,"4,977","21,874","853,072","921,318"
30/08/2020,FB,NgocNgo,CVS,"32,088,329",0,0,0,0,0,0,212,160,"81,615,217","1,879,000","151,360",0.75,0,0,0,"34,655,395"
30/08/2020,FB,NhiLanh,Brand,0,0,0,0,0,0,0,2,1,"499,000",0,0,0.5,0,0,0,0
30/08/2020,FB,GiangPhan,CVS,"2,378,285","17,112","14,761",67,5,5,0,11,9,"4,425,913",0,"216,208",0.82,"138,983","35,497","475,657","2,568,548"
